                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0473,                 3.3754,                 1.4676,                0.59785,                0.59978,                0.61335,                0.41186,                 1.1411,                   2.43,                 1.7322,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.0699,                 1.8961,                 1.4255,                0.66206,                0.67147,                0.71127,                0.48206,                 1.1171,                 1.8555,                 1.6753,              0.0065331,              0.0065331,              0.0065331
                      3,                 1.0977,                 1.7712,                 1.4384,                0.62911,                0.64764,                0.67819,                 0.4552,                 1.1382,                 1.4971,                  1.684,              0.0096025,              0.0096025,              0.0096025
                      4,                 1.1082,                 1.5846,                 1.4432,                0.70813,                0.70901,                0.75179,                0.51257,                 1.1109,                 1.0916,                 1.6454,               0.009406,               0.009406,               0.009406
                      5,                   1.07,                 1.3411,                 1.4148,                0.78126,                0.76633,                0.82793,                0.57218,                 1.0758,                0.85048,                 1.6129,               0.009208,               0.009208,               0.009208
                      6,                 1.0451,                 1.2261,                 1.3965,                0.80944,                0.79867,                0.85589,                0.60123,                 1.0478,                0.75738,                 1.5828,                0.00901,                0.00901,                0.00901
                      7,                 1.0282,                 1.1516,                 1.3846,                0.81849,                0.82144,                0.87505,                0.61969,                 1.0352,                 0.7083,                 1.5636,               0.008812,               0.008812,               0.008812
                      8,                 1.0133,                 1.0951,                 1.3738,                0.83305,                 0.8387,                0.88625,                0.63124,                 1.0228,                0.66301,                 1.5523,               0.008614,               0.008614,               0.008614
                      9,                 1.0084,                 1.0558,                 1.3697,                0.84848,                0.84371,                0.89567,                0.64132,                  1.016,                0.63341,                 1.5413,               0.008416,               0.008416,               0.008416
                     10,                0.99755,                 1.0177,                 1.3605,                0.86049,                 0.8492,                0.90335,                0.64865,                 1.0089,                0.60801,                 1.5327,               0.008218,               0.008218,               0.008218
                     11,                0.99246,                0.98886,                  1.358,                0.85758,                0.86127,                0.90811,                0.65273,                 1.0048,                0.59439,                 1.5294,                0.00802,                0.00802,                0.00802
                     12,                0.98658,                0.96578,                  1.353,                0.87673,                0.85563,                0.91133,                 0.6575,                 1.0021,                0.58042,                 1.5259,               0.007822,               0.007822,               0.007822
                     13,                0.97984,                0.94467,                 1.3499,                0.87626,                0.86128,                0.91386,                0.66012,                0.99948,                0.57244,                 1.5232,               0.007624,               0.007624,               0.007624
                     14,                0.97493,                0.92592,                 1.3461,                0.88018,                0.86202,                0.91618,                 0.6629,                0.99667,                0.56491,                 1.5199,               0.007426,               0.007426,               0.007426
                     15,                0.97078,                0.91031,                 1.3417,                0.88028,                0.86465,                0.91782,                0.66528,                0.99519,                 0.5594,                 1.5184,               0.007228,               0.007228,               0.007228
                     16,                0.96376,                0.89227,                 1.3382,                0.88272,                0.86537,                0.91917,                0.66689,                0.99392,                  0.555,                 1.5168,                0.00703,                0.00703,                0.00703
                     17,                 0.9611,                 0.8788,                  1.335,                0.88111,                0.86909,                0.92042,                0.66827,                  0.993,                0.55121,                 1.5161,               0.006832,               0.006832,               0.006832
                     18,                0.95534,                0.86233,                 1.3329,                0.88204,                0.87161,                0.92183,                0.66987,                0.99199,                0.54786,                 1.5153,               0.006634,               0.006634,               0.006634
                     19,                 0.9552,                0.85733,                 1.3314,                0.87914,                0.87431,                0.92291,                 0.6708,                0.99108,                0.54513,                 1.5144,               0.006436,               0.006436,               0.006436
                     20,                0.94778,                0.83874,                 1.3263,                0.88169,                0.87358,                0.92382,                0.67151,                0.98998,                0.54211,                 1.5132,               0.006238,               0.006238,               0.006238
                     21,                0.94209,                  0.828,                 1.3235,                0.88565,                0.87151,                0.92402,                0.67232,                0.98917,                0.53941,                 1.5123,                0.00604,                0.00604,                0.00604
                     22,                0.94605,                0.82179,                 1.3232,                0.88552,                0.87284,                0.92456,                0.67319,                0.98855,                0.53675,                 1.5115,               0.005842,               0.005842,               0.005842
                     23,                0.93632,                0.80312,                 1.3188,                0.88703,                0.87463,                0.92577,                0.67436,                0.98786,                0.53383,                 1.5106,               0.005644,               0.005644,               0.005644
                     24,                0.93561,                 0.7975,                 1.3172,                0.88731,                0.87691,                0.92639,                0.67523,                0.98727,                 0.5311,                 1.5099,               0.005446,               0.005446,               0.005446
