                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.045,                 3.9532,                 1.4755,                0.38266,                0.43723,                0.34193,                0.22019,                 1.2383,                  3.246,                 1.8171,              0.0033318,              0.0033318,              0.0033318
                      2,                  1.115,                 2.4236,                 1.4719,                0.49966,                0.52489,                0.51552,                0.34061,                 1.1819,                 2.4169,                 1.7372,              0.0065331,              0.0065331,              0.0065331
                      3,                 1.1319,                 2.1078,                 1.4683,                 0.5173,                0.54305,                0.53241,                0.35021,                  1.204,                 1.8079,                 1.7844,              0.0096025,              0.0096025,              0.0096025
                      4,                 1.1376,                 1.8291,                 1.4677,                0.63593,                0.62374,                0.66326,                0.44393,                 1.1541,                 1.3105,                 1.6998,               0.009406,               0.009406,               0.009406
                      5,                  1.105,                 1.6067,                  1.442,                 0.7088,                0.68393,                0.73828,                0.49874,                 1.1271,                 1.0827,                 1.6637,               0.009208,               0.009208,               0.009208
                      6,                 1.0827,                 1.4754,                 1.4258,                0.72278,                0.73641,                0.77662,                 0.5309,                 1.1075,                0.97148,                 1.6455,                0.00901,                0.00901,                0.00901
                      7,                 1.0682,                 1.4077,                  1.415,                0.75088,                0.75333,                0.80176,                0.55125,                 1.0937,                0.90786,                  1.624,               0.008812,               0.008812,               0.008812
                      8,                  1.056,                 1.3496,                 1.4071,                0.76572,                0.76808,                0.81906,                0.56711,                 1.0816,                0.85684,                 1.6087,               0.008614,               0.008614,               0.008614
                      9,                 1.0507,                 1.3079,                 1.4018,                0.78645,                0.77524,                0.83234,                0.57913,                 1.0719,                 0.8222,                 1.5988,               0.008416,               0.008416,               0.008416
                     10,                 1.0431,                 1.2708,                 1.3953,                0.79014,                0.78706,                0.84089,                0.58597,                 1.0667,                0.79498,                  1.594,               0.008218,               0.008218,               0.008218
                     11,                 1.0362,                 1.2421,                 1.3907,                0.80111,                0.79036,                0.84797,                0.59227,                 1.0625,                0.77401,                 1.5886,                0.00802,                0.00802,                0.00802
                     12,                 1.0289,                 1.2164,                  1.386,                0.80679,                 0.7968,                0.85278,                0.59703,                 1.0581,                0.76088,                 1.5833,               0.007822,               0.007822,               0.007822
                     13,                 1.0265,                 1.1943,                 1.3837,                0.80806,                0.79829,                0.85559,                0.60025,                  1.055,                0.74869,                 1.5795,               0.007624,               0.007624,               0.007624
                     14,                 1.0196,                 1.1769,                 1.3804,                0.80923,                0.80502,                0.85821,                0.60253,                 1.0518,                0.74018,                 1.5769,               0.007426,               0.007426,               0.007426
                     15,                 1.0187,                 1.1602,                 1.3775,                0.80856,                0.80723,                0.86021,                0.60423,                 1.0501,                0.73374,                  1.575,               0.007228,               0.007228,               0.007228
                     16,                 1.0104,                 1.1356,                 1.3741,                  0.808,                0.81051,                0.86206,                0.60702,                 1.0488,                0.72799,                 1.5739,                0.00703,                0.00703,                0.00703
                     17,                 1.0093,                  1.126,                 1.3707,                0.81736,                0.80737,                0.86377,                0.60833,                 1.0475,                0.72351,                 1.5723,               0.006832,               0.006832,               0.006832
                     18,                 1.0042,                 1.1113,                   1.37,                0.81943,                0.81034,                0.86581,                0.61006,                 1.0465,                0.71892,                 1.5708,               0.006634,               0.006634,               0.006634
                     19,                 1.0027,                    1.1,                 1.3666,                0.81739,                0.81482,                0.86734,                0.61151,                 1.0454,                 0.7142,                 1.5693,               0.006436,               0.006436,               0.006436
                     20,                 1.0014,                 1.0885,                 1.3656,                0.82049,                0.81561,                0.86874,                0.61253,                 1.0447,                0.70979,                 1.5682,               0.006238,               0.006238,               0.006238
                     21,                0.99692,                 1.0756,                 1.3623,                0.82712,                0.81237,                0.87041,                0.61399,                 1.0438,                0.70566,                 1.5671,                0.00604,                0.00604,                0.00604
                     22,                0.99759,                 1.0639,                 1.3626,                0.82988,                0.81337,                0.87243,                0.61566,                 1.0429,                0.70122,                 1.5658,               0.005842,               0.005842,               0.005842
                     23,                0.99433,                 1.0557,                 1.3605,                0.83219,                0.81202,                0.87359,                0.61702,                 1.0419,                0.69703,                 1.5646,               0.005644,               0.005644,               0.005644
                     24,                0.98944,                 1.0388,                 1.3578,                0.83392,                0.81343,                0.87527,                0.61818,                 1.0413,                0.69238,                 1.5637,               0.005446,               0.005446,               0.005446
                     25,                0.98738,                 1.0325,                 1.3552,                0.83781,                0.81252,                0.87645,                0.61952,                 1.0407,                0.68875,                 1.5627,               0.005248,               0.005248,               0.005248
                     26,                0.98484,                 1.0225,                 1.3546,                0.83649,                0.81767,                0.87787,                 0.6208,                 1.0402,                0.68498,                 1.5617,                0.00505,                0.00505,                0.00505
                     27,                0.97989,                 1.0109,                  1.351,                0.83721,                0.82006,                0.87942,                0.62227,                 1.0391,                0.68125,                 1.5603,               0.004852,               0.004852,               0.004852
                     28,                0.97838,                 1.0017,                 1.3499,                0.83087,                0.82825,                0.88047,                0.62332,                 1.0384,                0.67755,                 1.5593,               0.004654,               0.004654,               0.004654
                     29,                0.97649,                0.99072,                 1.3469,                0.83427,                0.82846,                0.88152,                0.62454,                 1.0378,                0.67389,                  1.558,               0.004456,               0.004456,               0.004456
                     30,                0.97203,                 0.9788,                  1.346,                0.83733,                0.82806,                0.88272,                0.62586,                 1.0372,                0.67086,                  1.557,               0.004258,               0.004258,               0.004258
                     31,                0.97065,                0.96836,                 1.3445,                0.83853,                0.82983,                 0.8843,                0.62718,                 1.0364,                0.66688,                 1.5557,                0.00406,                0.00406,                0.00406
                     32,                0.96262,                0.95678,                 1.3386,                 0.8416,                0.82999,                0.88577,                0.62848,                 1.0359,                0.66332,                 1.5547,               0.003862,               0.003862,               0.003862
                     33,                0.96348,                0.94968,                 1.3391,                0.84276,                0.83278,                0.88689,                0.62984,                 1.0348,                0.65978,                 1.5532,               0.003664,               0.003664,               0.003664
                     34,                0.96103,                0.93476,                 1.3373,                 0.8425,                0.83662,                0.88843,                0.63116,                 1.0338,                0.65656,                 1.5515,               0.003466,               0.003466,               0.003466
                     35,                0.95621,                0.93227,                 1.3343,                0.84513,                0.83646,                0.88981,                0.63252,                  1.033,                0.65324,                 1.5506,               0.003268,               0.003268,               0.003268
                     36,                0.95411,                0.91719,                 1.3334,                0.84457,                0.83918,                0.89089,                 0.6337,                 1.0322,                0.64978,                 1.5494,                0.00307,                0.00307,                0.00307
                     37,                0.94997,                0.90814,                 1.3307,                0.84577,                0.84116,                0.89195,                 0.6352,                 1.0312,                0.64644,                  1.548,               0.002872,               0.002872,               0.002872
                     38,                0.94722,                0.89479,                 1.3281,                0.85027,                0.83942,                0.89316,                0.63635,                 1.0301,                0.64327,                 1.5464,               0.002674,               0.002674,               0.002674
                     39,                0.94294,                0.88308,                 1.3268,                0.85151,                0.84103,                 0.8939,                0.63755,                 1.0292,                0.63999,                 1.5452,               0.002476,               0.002476,               0.002476
                     40,                0.94051,                0.87203,                 1.3229,                0.85495,                0.84028,                0.89501,                0.63858,                 1.0282,                 0.6368,                  1.544,               0.002278,               0.002278,               0.002278
                     41,                0.93405,                0.68126,                 1.4699,                0.85531,                0.84323,                0.89577,                0.63971,                 1.0268,                  0.634,                 1.5423,                0.00208,                0.00208,                0.00208
                     42,                0.92461,                0.65308,                  1.461,                0.85577,                0.84593,                0.89735,                 0.6414,                 1.0248,                0.63069,                 1.5402,               0.001882,               0.001882,               0.001882
                     43,                0.91599,                0.62708,                 1.4522,                0.85964,                0.84363,                0.89814,                0.64259,                 1.0231,                0.62715,                 1.5383,               0.001684,               0.001684,               0.001684
                     44,                0.90784,                0.60996,                 1.4446,                0.86208,                0.84312,                0.89913,                0.64387,                 1.0217,                0.62408,                 1.5369,               0.001486,               0.001486,               0.001486
                     45,                0.90089,                  0.593,                 1.4374,                0.86254,                0.84445,                0.90035,                0.64512,                 1.0199,                0.62115,                  1.535,               0.001288,               0.001288,               0.001288
                     46,                0.89533,                 0.5764,                 1.4312,                0.86359,                0.84646,                 0.9016,                0.64666,                 1.0185,                 0.6183,                 1.5333,                0.00109,                0.00109,                0.00109
                     47,                0.88626,                0.55674,                  1.424,                0.86476,                0.84822,                0.90284,                0.64815,                 1.0172,                0.61584,                 1.5318,               0.000892,               0.000892,               0.000892
                     48,                0.87954,                0.54338,                 1.4188,                0.86594,                 0.8481,                0.90384,                0.64938,                 1.0159,                0.61336,                 1.5302,               0.000694,               0.000694,               0.000694
                     49,                 0.8726,                0.52595,                 1.4124,                0.86526,                 0.8514,                0.90467,                0.65018,                 1.0151,                0.61107,                  1.529,               0.000496,               0.000496,               0.000496
                     50,                0.86426,                0.51078,                 1.4049,                0.86826,                0.85165,                0.90569,                0.65107,                 1.0142,                0.60909,                 1.5278,               0.000298,               0.000298,               0.000298
