                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7741,                 2.9815,                 1.9742,                0.52158,                 0.4736,                0.44712,                0.19335,                 2.0178,                 1.8642,                 2.3198,              0.0033318,              0.0033318,              0.0033318
                      2,                 1.6599,                 2.4371,                 1.8906,                0.58519,                0.48131,                0.47775,                0.20635,                 1.9576,                 1.8311,                 2.2637,              0.0065332,              0.0065332,              0.0065332
                      3,                 1.6865,                 2.1763,                 1.9056,                0.55781,                0.45682,                0.42103,                0.18574,                 1.9141,                 1.9013,                 2.2886,              0.0096026,              0.0096026,              0.0096026
                      4,                 1.6745,                 1.9506,                 1.9047,                0.56367,                0.48425,                0.47511,                0.21363,                 1.8743,                 1.7758,                 2.2302,               0.009406,               0.009406,               0.009406
                      5,                 1.6183,                 1.8608,                 1.8632,                0.58102,                0.50512,                0.50298,                0.23395,                 1.8187,                 1.7852,                 2.1983,               0.009208,               0.009208,               0.009208
                      6,                 1.5881,                 1.8276,                 1.8425,                0.59822,                0.50197,                0.50312,                 0.2343,                 1.7683,                 1.7374,                 2.1625,                0.00901,                0.00901,                0.00901
                      7,                 1.5602,                  1.803,                 1.8232,                0.57362,                0.51157,                0.50735,                0.24426,                 1.7364,                 1.6931,                 2.0934,               0.008812,               0.008812,               0.008812
                      8,                 1.5462,                 1.7729,                 1.8018,                0.56148,                0.51009,                0.52324,                0.25514,                 1.7101,                 1.6723,                 2.0457,               0.008614,               0.008614,               0.008614
                      9,                 1.5295,                 1.7636,                 1.7905,                0.61717,                0.54116,                0.54263,                0.26985,                 1.6446,                 1.6601,                 2.0182,               0.008416,               0.008416,               0.008416
                     10,                 1.5211,                 1.7421,                 1.7853,                0.57463,                 0.5451,                0.53298,                0.26484,                 1.6355,                 1.6366,                 2.0047,               0.008218,               0.008218,               0.008218
