                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.46016,                  1.301,                 1.2264,                 0.7955,                0.75965,                0.78233,                0.64994,                0.69352,                0.82355,                 1.1571,              0.0033329,              0.0033329,              0.0033329
                      2,                0.41794,                0.85822,                 1.1792,                0.80623,                0.75587,                0.80071,                0.67587,                0.62749,                0.79777,                 1.1033,              0.0065342,              0.0065342,              0.0065342
                      3,                0.41857,                0.71531,                  1.183,                0.80095,                0.75878,                0.79489,                0.66991,                0.60517,                0.78042,                 1.0657,              0.0096035,              0.0096035,              0.0096035
                      4,                0.39618,                0.68239,                 1.1752,                0.80399,                0.75796,                0.79872,                0.67895,                0.56462,                0.78251,                  1.021,               0.009406,               0.009406,               0.009406
                      5,                0.37164,                0.66299,                 1.1622,                0.80628,                0.75757,                0.80341,                0.68602,                0.55319,                0.77468,                  1.008,               0.009208,               0.009208,               0.009208
                      6,                0.35791,                0.65167,                 1.1527,                0.80443,                 0.7593,                0.80661,                0.69033,                0.53176,                0.76981,                0.98688,                0.00901,                0.00901,                0.00901
                      7,                0.34778,                0.64291,                 1.1468,                0.80907,                0.75715,                0.80888,                0.69318,                0.52821,                0.78032,                0.97952,               0.008812,               0.008812,               0.008812
                      8,                 0.3405,                0.63699,                 1.1411,                0.80876,                0.75838,                 0.8113,                0.69586,                0.52518,                0.78542,                0.97457,               0.008614,               0.008614,               0.008614
                      9,                0.33565,                0.63192,                 1.1375,                0.81032,                0.75852,                0.81288,                0.69783,                0.51995,                0.78802,                0.97126,               0.008416,               0.008416,               0.008416
                     10,                0.33274,                0.62915,                 1.1356,                0.81257,                0.75693,                0.81356,                0.69956,                0.51402,                0.79266,                 0.9667,               0.008218,               0.008218,               0.008218
