                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.48514,                 3.8778,                 1.2265,                 0.3323,                0.33833,                0.25074,                0.22141,                0.69696,                 2.3683,                 1.1562,              0.0033324,              0.0033324,              0.0033324
                      2,                0.44487,                 2.6353,                  1.174,                0.45914,                0.44215,                0.41346,                0.36321,                0.62882,                 1.7889,                 1.0169,              0.0065338,              0.0065338,              0.0065338
                      3,                0.44737,                 2.3672,                 1.1599,                0.47493,                0.45997,                0.43725,                0.38399,                0.60433,                 1.6793,                0.98269,              0.0096031,              0.0096031,              0.0096031
                      4,                0.41823,                 2.1581,                 1.1342,                0.52869,                0.51653,                0.50846,                0.44525,                0.53975,                 1.4249,                0.88745,               0.009406,               0.009406,               0.009406
                      5,                0.38779,                 1.9893,                 1.1132,                0.56045,                0.55351,                0.55145,                 0.4832,                0.51761,                 1.2997,                0.85443,               0.009208,               0.009208,               0.009208
                      6,                    inf,                 1.8867,                 1.1014,                  0.587,                0.56357,                0.57325,                0.50527,                0.49094,                 1.2215,                0.82573,                0.00901,                0.00901,                0.00901
                      7,                0.36333,                  1.829,                 1.0973,                0.59619,                0.57238,                0.58497,                0.51619,                0.47914,                 1.1853,                0.81376,               0.008812,               0.008812,               0.008812
                      8,                0.35719,                 1.7833,                 1.0922,                0.60475,                 0.5774,                  0.593,                0.52305,                0.47379,                 1.1709,                0.80745,               0.008614,               0.008614,               0.008614
                      9,                0.35236,                  1.751,                 1.0886,                0.60814,                0.58099,                0.59704,                0.52713,                0.46524,                 1.1569,                0.79843,               0.008416,               0.008416,               0.008416
                     10,                0.34974,                 1.7198,                 1.0864,                0.61287,                0.58168,                0.60015,                0.53035,                0.46273,                 1.1477,                0.79539,               0.008218,               0.008218,               0.008218
                     11,                0.34517,                 1.6933,                 1.0845,                 0.6173,                0.58522,                 0.6039,                 0.5339,                0.45797,                 1.1376,                0.78936,                0.00802,                0.00802,                0.00802
                     12,                0.34322,                 1.6723,                  1.083,                 0.6212,                0.58671,                0.60765,                0.53714,                0.45655,                 1.1298,                0.78744,               0.007822,               0.007822,               0.007822
                     13,                0.34211,                 1.6564,                 1.0812,                 0.6246,                0.58884,                0.61121,                0.54004,                0.45594,                  1.123,                0.78645,               0.007624,               0.007624,               0.007624
                     14,                 0.3397,                 1.6395,                   1.08,                0.62788,                0.59074,                0.61514,                0.54359,                0.45406,                 1.1117,                0.78382,               0.007426,               0.007426,               0.007426
                     15,                0.33671,                 1.6214,                 1.0779,                0.62805,                0.59356,                0.61921,                0.54708,                0.45233,                 1.1004,                0.78084,               0.007228,               0.007228,               0.007228
                     16,                0.33568,                  1.611,                 1.0777,                0.63116,                0.59519,                0.62326,                0.55064,                0.45088,                  1.089,                0.77855,                0.00703,                0.00703,                0.00703
                     17,                0.33391,                 1.5977,                 1.0755,                0.63466,                0.59751,                0.62702,                 0.5541,                0.45048,                 1.0785,                0.77743,               0.006832,               0.006832,               0.006832
                     18,                0.33228,                 1.5816,                 1.0749,                0.63722,                0.60111,                0.63165,                0.55826,                 0.4497,                 1.0678,                0.77589,               0.006634,               0.006634,               0.006634
